125, 40409, 0.0
250, 179656, 1.2
500, 739241, 0.8
1000, 3204023, 2.6
2000, 15533084, 8.6
4000, 68601383, 29.6
8000, 293177488, 133.8
16000, 1178523871, 583.2

12500, 137258, 3.0
25000, 303796, 6.6
50000, 556819, 7.0
100000, 1347585, 13.0
200000, 2833976, 26.2
400000, 5491208, 54.0
800000, 12166646, 129.6
1600000, 25018391, 268.6

50000, 100000, 1.8
100000, 200000, 2.2
200000, 400000, 2.4
400000, 800000, 5.0
800000, 1600000, 10.6
1600000, 3200000, 28.0
3200000, 6400000, 99.6
6400000, 12800000, 202.2
